DT: 25 -> FAR: 0.00270, FRR: 92.59625
DT: 26 -> FAR: 0.00270, FRR: 92.59625
DT: 27 -> FAR: 0.00270, FRR: 92.59625
DT: 28 -> FAR: 0.00270, FRR: 92.59625
DT: 29 -> FAR: 0.00270, FRR: 92.59625
DT: 30 -> FAR: 0.00270, FRR: 92.59625
DT: 31 -> FAR: 0.00270, FRR: 92.59625
DT: 32 -> FAR: 0.00270, FRR: 92.59625
DT: 33 -> FAR: 0.00270, FRR: 92.59625
DT: 34 -> FAR: 0.00270, FRR: 92.59625
DT: 35 -> FAR: 0.00270, FRR: 92.59625
DT: 36 -> FAR: 0.00270, FRR: 92.59625
DT: 37 -> FAR: 0.00270, FRR: 92.59625
DT: 38 -> FAR: 0.00270, FRR: 92.59625
DT: 39 -> FAR: 0.00270, FRR: 92.59625

DT: 40 -> FAR: 0.00270, FRR: 92.59625
DT: 41 -> FAR: 0.00212, FRR: 92.72875
DT: 42 -> FAR: 0.00167, FRR: 92.89375
DT: 43 -> FAR: 0.00130, FRR: 93.03500
DT: 44 -> FAR: 0.00103, FRR: 93.19125
DT: 45 -> FAR: 0.00083, FRR: 93.33750
DT: 46 -> FAR: 0.00066, FRR: 93.45875
DT: 47 -> FAR: 0.00054, FRR: 93.59750
DT: 48 -> FAR: 0.00043, FRR: 93.74750
DT: 49 -> FAR: 0.00035, FRR: 93.86250
DT: 50 -> FAR: 0.00029, FRR: 94.01500

